timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763344016251,285,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-14,text,true,,669,224,28,39,http://localhost:8080/usuarios/login,285,0,0
1763344016119,889,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-2,text,true,,1799,224,7,26,http://localhost:8080/usuarios/login,186,0,25
1763344016969,39,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-2,text,true,,1130,0,20,69,null,0,0,0
1763344016232,832,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-5,text,true,,1799,224,9,34,http://localhost:8080/usuarios/login,262,0,0
1763344017064,0,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-5,text,true,,1130,0,20,69,null,0,0,0
1763344016648,645,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-13,text,true,,1800,224,20,69,http://localhost:8080/usuarios/login,644,0,1
1763344017292,1,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-13,text,true,,1131,0,20,69,null,0,0,0
1763344016166,1251,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-10,text,true,,669,224,49,69,http://localhost:8080/usuarios/login,1251,0,1
1763344016121,1370,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-3,text,true,,669,224,48,68,http://localhost:8080/usuarios/login,1370,0,26
1763344016121,1511,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-2,text,true,,669,224,47,67,http://localhost:8080/usuarios/login,1510,0,28
1763344016120,1520,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-4,text,true,,669,224,47,67,http://localhost:8080/usuarios/login,1520,0,23
1763344016285,1374,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-6,text,true,,1799,224,20,65,http://localhost:8080/usuarios/login,1374,0,0
1763344017659,0,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-6,text,true,,1130,0,20,65,null,0,0,0
1763344016121,1652,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-3,text,true,,1799,224,20,65,http://localhost:8080/usuarios/login,1651,0,27
